Labour Party,south-west,Junab Ali,JUNAB ALI,director,J.A.K. (WALSALL) LIMITED,07774735,gb,https://opencorporates.com/companies/gb/07774735
Labour Party,south-west,Junab Ali,JUNAB ALI,director,CURRY GARDEN TANDOORI RESTAURANT LIMITED,03135566,gb,https://opencorporates.com/companies/gb/03135566
Labour Party,south-west,Junab Ali,MOHAMMED JUNAB ALI,director,TOUCHNTALK LTD,06995066,gb,https://opencorporates.com/companies/gb/06995066
Labour Party,south-west,Junab Ali,MOHAMMED JUNAB ALI,director,CINNAMON LODGE BRASSERIE LTD,06661334,gb,https://opencorporates.com/companies/gb/06661334
Labour Party,south-west,Jude Robinson,GERARD JUDE ROBINSON,director,NOVAR LIMITED,02262172,gb,https://opencorporates.com/companies/gb/02262172
Labour Party,south-west,Jude Robinson,GERARD JUDE ROBINSON,director,FORMER AMICUS HEALTHCARE LIMITED,00116776,gb,https://opencorporates.com/companies/gb/00116776
Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,COMPASS NOMINEE COMPANY NUMBER THIRTEEN LIMITED,01193134,gb,https://opencorporates.com/companies/gb/01193134
Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,GBLC ADMINISTRATION LIMITED,02860478,gb,https://opencorporates.com/companies/gb/02860478
Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,TAYLOR MADE CUTTING & CREASING FORMES LIMITED,02415294,gb,https://opencorporates.com/companies/gb/02415294
Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,GBLC HOLDINGS LIMITED,02859764,gb,https://opencorporates.com/companies/gb/02859764
Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,GBLC PLC,02860481,gb,https://opencorporates.com/companies/gb/02860481
Labour Party,south-west,Jude Robinson,GERRARD JUDE ROBINSON,director,RAPHOE MANAGEMENT LIMITED,05512791,gb,https://opencorporates.com/companies/gb/05512791
